Nam,Tong Dien Tich (NghinHa),Dien Tich Lua (Nghin ha ),Dien Tich Ngô (Nghìn ha ),Tong San Luong(Nghin tan),San Luong Lua (Nghin Tan),San Luong Ngo (Nghin Tan)
1990,6476.9,6042.8,431.8,19897.7,19225.1,671
1991,6752.7,6302.8,447.6,20295.8,19621.9,672
1992,6956.3,6475.3,478,22342.8,21590.4,747.9
1993,7058.3,6559.4,496.5,23720.5,22836.5,882.2
1994,7135.7,6598.6,534.6,24673.7,23528.2,1143.9
1995,7324.3,6765.6,556.8,26142.5,24963.7,1177.2
1996,7620.6,7003.8,615.2,27935.7,26396.7,1536.7
1997,7768.2,7099.7,662.9,29182.9,27523.9,1650.6
1998,8016,7362.7,649.7,30758.6,29145.5,1612
1999,8348.6,7653.6,691.8,33150.1,31393.8,1753.1
2000,8399.1,7666.3,730.2,34538.9,32529.5,2005.9
2001,8224.7,7492.7,729.5,34272.9,32108.4,2161.7
2002,8322.5,7504.3,816,36960.7,34447.2,2511.2
2003,8366.7,7452.2,912.7,37706.9,34568.8,3136.3
2004,8437.8,7445.3,991.1,39581,36148.9,3430.9
2005,8383.4,7329.2,1052.6,39621.6,35832.9,3787.1
2006,8359.7,7324.8,1033.1,39706.2,35849.5,3854.6
2007,8304.7,7207.4,1096.1,40247.4,35942.7,4303.2
2008,8542.2,7400.2,1140.2,43305.4,38729.8,4573.1
2009,8527.4,7437.2,1089.2,43323.4,38950.2,4371.7
2010,8615.9,7489.4,1125.7,44632.2,40005.6,4625.7
2011,8777.6,7655.4,1121.3,47235.5,42398.5,4835.6
2012,8918.9,7761.2,1156.6,48712.6,43737.8,4973.6
2013,9074,7902.5,1170.4,49231.6,44039.1,5191.2
2014,8996.2,7816.2,1179,50178.5,44974.6,5202.3
2015,8996.3,7830.6,1164.8,50394.3,45105.5,5287.2
S? b? 2016,8947.9,7790.4,1152.4,48838.9,43609.5,5225.6
