TyLe,DiaDiem
42.5,Bac Trung Bo Va Duyen Hai Mien Trung
35.7,Bac Trung Bo Va Duyen Hai Mien Trung
25.3,Bac Trung Bo Va Duyen Hai Mien Trung
22.2,Bac Trung Bo Va Duyen Hai Mien Trung
19.2,Bac Trung Bo Va Duyen Hai Mien Trung
20.4,Bac Trung Bo Va Duyen Hai Mien Trung
18.5,Bac Trung Bo Va Duyen Hai Mien Trung
16.1,Bac Trung Bo Va Duyen Hai Mien Trung
14.0,Bac Trung Bo Va Duyen Hai Mien Trung
11.8,Bac Trung Bo Va Duyen Hai Mien Trung
9.8,Bac Trung Bo Va Duyen Hai Mien Trung
8.0,Bac Trung Bo Va Duyen Hai Mien Trung
52.4,Tay Nguyen
51.8,Tay Nguyen
29.2,Tay Nguyen
24.0,Tay Nguyen
21.0,Tay Nguyen
22.2,Tay Nguyen
20.3,Tay Nguyen
17.8,Tay Nguyen
16.2,Tay Nguyen
13.8,Tay Nguyen
11.3,Tay Nguyen
9.1,Tay Nguyen
7.6,Dong Nam Bo
8.2,Dong Nam Bo
4.6,Dong Nam Bo
3.1,Dong Nam Bo
2.5,Dong Nam Bo
2.3,Dong Nam Bo
1.7,Dong Nam Bo
1.3,Dong Nam Bo
1.1,Dong Nam Bo
1.0,Dong Nam Bo
0.7,Dong Nam Bo
0.6,Dong Nam Bo
36.9,Dong Bang Song Cuu Long
23.4,Dong Bang Song Cuu Long
15.3,Dong Bang Song Cuu Long
13.0,Dong Bang Song Cuu Long
11.4,Dong Bang Song Cuu Long
12.6,Dong Bang Song Cuu Long
11.6,Dong Bang Song Cuu Long
10.1,Dong Bang Song Cuu Long
9.2,Dong Bang Song Cuu Long
7.9,Dong Bang Song Cuu Long
6.5,Dong Bang Song Cuu Long
5.2,Dong Bang Song Cuu Long
